iteration,time_this_iter_s,time_total_s,num_env_steps_sampled_this_iter,num_env_steps_sampled_lifetime,episode_return_mean_training,episode_len_mean_training,p0_reward_mean,p1_reward_mean,p0_total_loss,p0_policy_loss,p0_vf_loss,p0_entropy,p0_kl_loss,p0_vf_explained_var,p1_total_loss,p1_policy_loss,p1_vf_loss,p1_entropy,p1_kl_loss,p1_vf_explained_var
1,31.605997562408447,31.605997562408447,16160,16160,0.37788461538461543,505.0,0.37788461538461543,0.0,-0.1488262265920639,-0.20815372467041016,0.051550667732954025,68.21566009521484,0.038884151726961136,0.3999274969100952,-0.1428895890712738,-0.15062370896339417,8.892183359421324e-06,68.37655639648438,0.03862623870372772,-1.0
2,32.06854796409607,63.67454552650452,16160,32320,2.0096153846153846,505.0,1.9634615384615388,0.04615384615384615,0.12250575423240662,-0.06396734714508057,0.1778503805398941,68.310791015625,0.028742410242557526,0.36413776874542236,-0.1638026237487793,-0.18216468393802643,0.013401602394878864,68.26942443847656,0.016534976661205292,0.12188982963562012
3,28.570903301239014,92.24544882774353,16160,48480,0.4307692307692308,505.0,0.4307692307692308,0.0,-0.6009584069252014,-0.8144118189811707,0.20120596885681152,68.1544418334961,0.027216851711273193,0.1204996109008789,0.09798015654087067,0.09240879863500595,0.00018081790767610073,68.10205841064453,0.017968451604247093,-1.0
4,30.403682470321655,122.64913129806519,16160,64640,3.8221153846153846,505.0,3.4375,0.3846153846153847,0.7406994700431824,-0.1922696977853775,0.9259002804756165,68.40877532958984,0.010472462512552738,-0.008955597877502441,0.21883125603199005,0.20975086092948914,0.004276508931070566,68.16045379638672,0.01601290889084339,-0.29756128787994385
5,33.908472299575806,156.557603597641,16160,80800,1.171153846153846,505.0,0.9326923076923078,0.23846153846153853,0.1400924175977707,-0.11556471884250641,0.24762727320194244,68.27040100097656,0.011896132491528988,0.04766440391540527,-0.15761798620224,-0.21865962445735931,0.056814439594745636,68.08173370361328,0.014090687036514282,0.04197198152542114
6,33.277508020401,189.835111618042,16160,96960,1.7317307692307689,505.0,1.5278846153846157,0.20384615384615382,0.07213443517684937,-0.05071543902158737,0.11544132977724075,68.21162414550781,0.0109756113961339,0.18334436416625977,-0.10875121504068375,-0.16531680524349213,0.05357837677001953,68.02662658691406,0.009957386180758476,0.0913320779800415
7,33.13758182525635,222.97269344329834,16160,113120,26.12884615384613,505.0,14.300961538461529,11.827884615384601,1.853630542755127,-0.038604456931352615,1.8843286037445068,68.10147094726562,0.011713561601936817,0.24108922481536865,1.9485540390014648,-0.02157837525010109,1.9650579690933228,67.92892456054688,0.01691495254635811,0.03274226188659668
8,32.65687847137451,255.62957191467285,16160,129280,3.142307692307693,505.0,2.897115384615385,0.24519230769230774,0.19908733665943146,-0.02794428914785385,0.21480382978916168,68.02603912353516,0.01811525598168373,0.5512564182281494,0.20095014572143555,0.17801417410373688,0.015267999842762947,67.82969665527344,0.025559894740581512,-0.052240848541259766
9,33.18643593788147,288.8160078525543,16160,145440,18.982692307692286,505.0,12.50192307692306,6.480769230769226,0.856513261795044,0.18760915100574493,0.6594062447547913,67.98355102539062,0.014070861041545868,0.42923325300216675,0.979184627532959,-0.3823831379413605,1.353083848953247,67.53638458251953,0.01885291561484337,0.007890760898590088
10,33.15013146400452,321.96613931655884,16160,161600,1.5865384615384615,505.0,1.5817307692307692,0.004807692307692308,0.03640131279826164,-0.14321939647197723,0.17117251455783844,68.11578369140625,0.012515850365161896,0.24197423458099365,0.13207626342773438,0.1267826110124588,0.00019649008754640818,67.86412048339844,0.011327038519084454,-1.0
11,32.215205907821655,354.1813452243805,16160,177760,0.0846153846153846,505.0,0.0,0.0846153846153846,-0.15095654129981995,-0.19080331921577454,0.010996292345225811,67.91960144042969,0.04274147376418114,0.006545841693878174,0.1544058620929718,0.14610393345355988,0.00034681212855502963,67.3598861694336,0.01767803728580475,-1.0
12,29.55858850479126,383.73993372917175,16160,193920,0.8605769230769231,505.0,0.6673076923076923,0.19326923076923072,-0.06590437144041061,-0.1489521712064743,0.06162054464221001,67.92295837402344,0.0211627334356308,-0.027268528938293457,0.06127896532416344,0.032752394676208496,0.01958373188972473,67.10107421875,0.01987297274172306,-0.0005304813385009766
13,32.703091859817505,416.44302558898926,16160,210080,1.842307692307692,505.0,1.6038461538461537,0.23846153846153853,0.3366924524307251,0.19719524681568146,0.11677483469247818,68.01966094970703,0.014961197972297668,0.006329357624053955,0.0440557524561882,0.0159932728856802,0.022323813289403915,67.163818359375,0.012752591632306576,0.0218011736869812
14,33.052217960357666,449.4952435493469,16160,226240,10.244230769230764,505.0,8.114423076923071,2.1298076923076925,0.6476593613624573,0.0659768208861351,0.5742557644844055,68.05848693847656,0.004890108946710825,0.10696113109588623,0.28948938846588135,0.15708786249160767,0.12688487768173218,67.57406616210938,0.012259162031114101,-0.010987997055053711
15,32.24981927871704,481.74506282806396,16160,242400,6.59326923076923,505.0,5.809615384615383,0.7836538461538463,0.3169541358947754,-0.04502416029572487,0.35621896386146545,68.03246307373047,0.0075843073427677155,0.3809623718261719,0.24253904819488525,0.196023628115654,0.042151108384132385,67.6260986328125,0.009698443114757538,0.023147165775299072
16,30.220045566558838,511.9651083946228,16160,258560,0.6471153846153848,505.0,0.5240384615384616,0.12307692307692307,0.02338545024394989,-0.027056608349084854,0.036608606576919556,67.87874603271484,0.01821688376367092,-0.0038830041885375977,0.10361410677433014,0.10022275894880295,7.981755334185436e-05,67.42640686035156,0.00735892727971077,-1.0
